Name,Gender,Course,Round,Hole,Par,Score,FIR,GIR,Approach.Dist,Putts,Exp_Putts,strokesgained,PuttLength
Player 12,Male,Avalon Lakes Golf Club,Qualifying,9,4,3,Missed,Hit,76-100 yards,1,1.147,0.14700000000000002,4
Player 11,Male,Longue Vue Club,Qualifying,10,3,4,Not Applicable (PAR 3),Miss,126-150 yards,2,1.147,-0.853,4
Player 11,Male,San Destin Resort - Raven,Tournament,11,5,4,Hit,Hit,76-100 yards,1,1.147,0.14700000000000002,4
Player 16,Female,Meadville Country Club,Tournament,1,5,5,Hit,Hit,Less than 50 yards,2,1.147,-0.853,4
Player 3,Male,Pinnacle Golf Club,Qualifying,11,3,3,Not Applicable (PAR 3),Miss,201-225 yards,1,1.147,0.14700000000000002,4
Player 4,Male,San Destin Resort - Raven,Tournament,11,5,5,Hit,Miss,126-150 yards,1,1.147,0.14700000000000002,4
Player 10,Male,PGA National - Champions,Tournament,1,4,4,Missed,Miss,126-150 yards,1,1.147,0.14700000000000002,4
Player 13,Male,Nemacolin Resort - Shepards Rock,Qualifying,6,4,3,Hit,Hit,101-125 yards,1,1.147,0.14700000000000002,4
Player 10,Male,Longue Vue Club,Qualifying,6,4,4,Hit,Miss,101-125 yards,1,1.147,0.14700000000000002,4
Player 3,Male,Wigwam Gold Course,Tournament,14,4,4,Hit,Miss,176-200 yards,1,1.147,0.14700000000000002,4
Player 11,Male,Nemacolin Resort - Shepards Rock,Qualifying,17,4,4,Hit,Miss,101-125 yards,1,1.147,0.14700000000000002,4
Player 10,Male,Avalon Lakes Golf Club,Qualifying,14,5,5,Missed,Miss,201-225 yards,1,1.147,0.14700000000000002,4
Player 3,Male,San Destin Resort - Raven,Tournament,3,5,5,Hit,Hit,Less than 50 yards,2,1.147,-0.853,4
Player 16,Female,Longue Vue Club,Qualifying,7,4,4,Hit,Hit,76-100 yards,2,1.147,-0.853,4
Player 11,Male,Indiana Country Club,Qualifying,1,5,5,Hit,Miss,Less than 50 yards,1,1.147,0.14700000000000002,4
Player 11,Male,Meadville Country Club,Tournament,9,5,4,Hit,Hit,Less than 50 yards,1,1.147,0.14700000000000002,4
Player 16,Female,Meadville Country Club,Tournament,18,4,4,Hit,Miss,51-75 yards,1,1.147,0.14700000000000002,4
Player 2,Male,Avalon Lakes Golf Club,Qualifying,4,3,3,Not Applicable (PAR 3),Miss,176-200 yards,1,1.256,0.256,5
Player 9,Male,Meadville Country Club,Tournament,3,5,7,Missed,Miss,Less than 50 yards,1,1.256,0.256,5
Player 8,Male,Longue Vue Club,Qualifying,18,4,4,Missed,Miss,201-225 yards,1,1.256,0.256,5
Player 1,Male,Longue Vue Club,Qualifying,4,5,6,Missed,Miss,126-150 yards,1,1.256,0.256,5
Player 21,Female,San Destin Resort - Baytowne,Tournament,16,4,5,Hit,Hit,126-150 yards,2,1.256,-0.744,5
Player 10,Male,Nemacolin Resort - Shepards Rock,Qualifying,13,5,5,Hit,Hit,Less than 50 yards,2,1.256,-0.744,5
Player 16,Female,Nemacolin Resort - Shepards Rock,Qualifying,13,5,5,Hit,Miss,76-100 yards,1,1.256,0.256,5
Player 8,Male,PGA National - Champions,Tournament,3,5,5,Hit,Miss,201-225 yards,1,1.256,0.256,5
