"","Name","Course","Hole","Par","Score","Gender"
"138","Player 11","Sedgefield Country Club - Dye Course","Total",71,76,"Male"
"139","Player 3","Sedgefield Country Club - Dye Course","Total",71,68,"Male"
"140","Player 8","Sedgefield Country Club - Dye Course","Total",71,72,"Male"
"141","Player 8","Sedgefield Country Club - Dye Course","Total",71,74,"Male"
"142","Player 4","Sedgefield Country Club - Dye Course","Total",71,75,"Male"
"143","Player 4","Sedgefield Country Club - Dye Course","Total",71,74,"Male"
"144","Player 3","Wigwam Gold Course","Total",70,73,"Male"
"145","Player 3","Wigwam Gold Course","Total",70,67,"Male"
"146","Player 3","Wigwam Gold Course","Total",70,73,"Male"
"147","Player 1","Longue Vue Club","1",4,5,"Male"
"148","Player 2","Longue Vue Club","1",4,5,"Male"
"149","Player 3","Longue Vue Club","1",4,4,"Male"
"150","Player 3","Avalon Lakes Golf Club","1",4,5,"Male"
"151","Player 4","Avalon Lakes Golf Club","1",4,4,"Male"
"152","Player 5","Longue Vue Club","1",4,4,"Male"
"153","Player 6","Avalon Lakes Golf Club","1",4,5,"Male"
"154","Player 1","Avalon Lakes Golf Club","1",4,5,"Male"
"155","Player 7","Avalon Lakes Golf Club","1",4,5,"Male"
"156","Player 8","Avalon Lakes Golf Club","1",4,4,"Male"
"157","Player 9","Longue Vue Club","1",4,5,"Male"
"158","Player 10","Avalon Lakes Golf Club","1",4,7,"Male"
"159","Player 11","Avalon Lakes Golf Club","1",4,4,"Male"
"160","Player 9","Avalon Lakes Golf Club","1",4,5,"Male"
"161","Player 2","Longue Vue Club","1",4,5,"Male"
"162","Player 2","Avalon Lakes Golf Club","1",4,6,"Male"
"163","Player 12","Avalon Lakes Golf Club","1",4,4,"Male"
"164","Player 1","Nemacolin Resort - Shepards Rock","1",5,5,"Male"
"165","Player 10","Nemacolin Resort - Shepards Rock","1",5,5,"Male"
"166","Player 12","Nemacolin Resort - Shepards Rock","1",5,5,"Male"
"167","Player 11","Nemacolin Resort - Shepards Rock","1",5,6,"Male"
"168","Player 11","Nemacolin Resort - Shepards Rock","1",5,4,"Male"
"169","Player 13","Nemacolin Resort - Shepards Rock","1",5,5,"Male"
"170","Player 13","Avalon Lakes Golf Club","1",4,3,"Male"
"171","Player 2","Nemacolin Resort - Shepards Rock","1",5,3,"Male"
"172","Player 14","Longue Vue Club","1",4,4,"Male"
"173","Player 13","Longue Vue Club","1",4,5,"Male"
"174","Player 4","Nemacolin Resort - Shepards Rock","1",5,5,"Male"
"175","Player 1","Longue Vue Club","1",4,5,"Male"
"176","Player 4","Indiana Country Club","1",5,5,"Male"
"177","Player 11","Indiana Country Club","1",5,5,"Male"
"178","Player 3","Indiana Country Club","1",5,5,"Male"
"179","Player 8","Indiana Country Club","1",5,3,"Male"
"180","Player 14","Indiana Country Club","1",5,5,"Male"
"181","Player 1","Indiana Country Club","1",5,6,"Male"
"182","Player 10","Indiana Country Club","1",5,5,"Male"
"183","Player 4","Nemacolin Resort - Shepards Rock","1",5,5,"Male"
"184","Player 12","Indiana Country Club","1",5,4,"Male"
"185","Player 2","Indiana Country Club","1",5,4,"Male"
"186","Player 2","Longue Vue Club","1",4,7,"Male"
"187","Player 13","Indiana Country Club","1",5,5,"Male"
"188","Player 2","Longue Vue Club","1",4,5,"Male"
"189","Player 11","Meadville Country Club","1",5,5,"Male"
"190","Player 11","Meadville Country Club","1",5,7,"Male"
"191","Player 12","Meadville Country Club","1",5,4,"Male"
"192","Player 12","Meadville Country Club","1",5,6,"Male"
"193","Player 5","Avalon Lakes Golf Club","1",4,4,"Male"
"194","Player 5","Indiana Country Club","1",5,6,"Male"
"195","Player 5","Longue Vue Club","1",4,4,"Male"
"196","Player 13","Longue Vue Club","1",4,4,"Male"
"197","Player 9","Meadville Country Club","1",5,3,"Male"
"198","Player 9","Meadville Country Club","1",5,4,"Male"
"199","Player 6","Longue Vue Club","1",4,4,"Male"
"200","Player 6","Nemacolin Resort - Shepards Rock","1",5,5,"Male"
"201","Player 3","PGA National - Champions","1",4,5,"Male"
"202","Player 4","PGA National - Champions","1",4,5,"Male"
"203","Player 3","PGA National - Champions","1",4,4,"Male"
"204","Player 10","PGA National - Champions","1",4,5,"Male"
"205","Player 4","PGA National - Champions","1",4,3,"Male"
"206","Player 10","PGA National - Champions","1",4,4,"Male"
"207","Player 14","PGA National - Champions","1",4,4,"Male"
"208","Player 14","PGA National - Champions","1",4,4,"Male"
"209","Player 7","Longue Vue Club","1",4,4,"Male"
"210","Player 3","PGA National - Champions","1",4,4,"Male"
"211","Player 10","PGA National - Champions","1",4,6,"Male"
"212","Player 6","Longue Vue Club","1",4,4,"Male"
"213","Player 6","Longue Vue Club","1",4,4,"Male"
"214","Player 4","PGA National - Champions","1",4,5,"Male"
"215","Player 8","PGA National - Champions","1",4,3,"Male"
"216","Player 8","PGA National - Champions","1",4,4,"Male"
"217","Player 8","PGA National - Champions","1",4,5,"Male"
"218","Player 11","Longue Vue Club","1",4,4,"Male"
"219","Player 5","Longue Vue Club","1",4,3,"Male"
"220","Player 3","Longue Vue Club","1",4,6,"Male"
"221","Player 11","Longue Vue Club","1",4,4,"Male"
"222","Player 3","Pittsburgh Field Club","1",4,5,"Male"
"223","Player 8","Pittsburgh Field Club","1",4,4,"Male"
"224","Player 6","Longue Vue Club","1",4,4,"Male"
"225","Player 6","Longue Vue Club","1",4,5,"Male"
"226","Player 12","Longue Vue Club","1",4,4,"Male"
"227","Player 12","Longue Vue Club","1",4,4,"Male"
"228","Player 8","Longue Vue Club","1",4,4,"Male"
"229","Player 8","Longue Vue Club","1",4,4,"Male"
"230","Player 11","Longue Vue Club","1",4,4,"Male"
"231","Player 11","Pittsburgh Field Club","1",4,4,"Male"
